,0,1
524,Ketoprofen,/mtm/ketoprofen.html
525,Ketorolac,/pro/ketorolac.html
526,Ketorolac ophthalmic,/mtm/ketorolac-ophthalmic.html
527,Ketorolac Tromethamine,/pro/ketorolac-tromethamine.html
528,Ketotifen,/monograph/ketotifen.html
529,Ketotifen ophthalmic,/mtm/ketotifen-ophthalmic.html
530,Kevzara,/kevzara.html
531,Keytruda,/keytruda.html
532,Kineret,/kineret.html
533,Kisqali,/kisqali.html
534,Kisunla,/kisunla.html
535,Klonopin,/klonopin.html
536,Klor-Con,/klor-con.html
537,Kratom,/kratom.html
538,Krill Oil,/krill-oil.html
539,Kristalose,/cons/kristalose.html
540,Krystexxa,/krystexxa.html
541,Kyleena,/kyleena.html
542,Kynmobi,/kynmobi.html
543,Kyprolis,/kyprolis.html
544,Labetalol,/mtm/labetalol.html
545,Lacosamide,/pro/lacosamide.html
546,Lactulose,/mtm/lactulose.html
547,Lagevrio,/mtm/lagevrio.html
548,Lamictal,/lamictal.html
549,Lamotrigine,/mtm/lamotrigine.html
550,Lanadelumab,/lanadelumab.html
551,Lansoprazole,/lansoprazole.html
552,Lantus,/lantus.html
553,Lasix,/lasix.html
554,Latanoprost,/cons/latanoprost.html
555,Latuda,/latuda.html
556,Leflunomide,/mtm/leflunomide.html
557,Lenvatinib,/lenvatinib.html
558,Lenvima,/lenvima.html
559,Leqembi,/leqembi.html
560,Letrozole,/mtm/letrozole.html
561,Leukeran,/mtm/leukeran.html
562,Leuprolide,/leuprolide.html
563,Levaquin,/levaquin.html
564,Levemir,/levemir.html
565,Levetiracetam,/pro/levetiracetam.html
566,Levocetirizine,/levocetirizine.html
567,Levodopa,/mtm/levodopa-inhalation.html
568,Levofloxacin,/levofloxacin.html
569,Levothyroxine,/levothyroxine.html
570,Lexapro,/lexapro.html
571,Lexette,/lexette.html
572,Lialda,/lialda.html
573,Lidex,/cons/lidex.html
574,Lidocaine,/pro/lidocaine.html
575,Liletta,/liletta.html
576,Linezolid,/monograph/linezolid.html
577,Linzess,/linzess.html
578,Liothyronine,/mtm/liothyronine.html
579,Lipitor,/lipitor.html
580,Liraglutide,/mtm/liraglutide.html
581,Lisdexamfetamine,/mtm/lisdexamfetamine.html
582,Lisinopril,/lisinopril.html
583,Lithium,/lithium.html
584,Loestrin 24 Fe,/lo-loestrin-fe.html
585,Lofexidine,/lofexidine.html
586,Lokelma,/mtm/lokelma.html
587,Lomotil,/mtm/lomotil.html
588,Loperamide,/loperamide.html
589,Lopressor,/pro/lopressor.html
590,Loratadine,/loratadine.html
591,Lorazepam,/lorazepam.html
592,Lorlatinib,/lorlatinib.html
593,Losartan,/losartan.html
594,Lovastatin,/mtm/lovastatin.html
595,Lovenox,/lovenox.html
596,Lunesta,/lunesta.html
597,Lupron Depot,/lupron.html
598,Lurasidone,/mtm/lurasidone.html
599,Luxiq,/mtm/luxiq.html
600,Lyrica,/lyrica.html
601,Lyumjev,/lyumjev.html
602,Macrobid,/macrobid.html
603,Magnesium oxide,/mtm/magnesium-oxide.html
604,Magnesium sulfate,/mtm/magnesium-sulfate.html
605,Mavenclad,/mavenclad.html
606,Mavyret,/mavyret.html
607,Mayzent,/mayzent.html
608,Meclizine,/meclizine.html
609,Medrol,/mtm/medrol.html
610,Megestrol,/mtm/megestrol.html
611,Melatonin,/melatonin.html
612,Meloxicam,/meloxicam.html
613,Memantine,/memantine.html
614,Meropenem,/mtm/meropenem.html
615,Mesalamine,/mesalamine.html
616,Metformin,/metformin.html
617,Methadone,/methadone.html
618,Methimazole,/mtm/methimazole.html
619,Methocarbamol,/methocarbamol.html
620,Methotrexate,/methotrexate.html
621,Methylphenidate,/methylphenidate.html
622,Methylprednisolone,/methylprednisolone.html
623,Metoclopramide,/metoclopramide.html
624,Metolazone,/mtm/metolazone.html
625,Metoprolol,/metoprolol.html
626,Metoprolol Succinate,/pro/metoprolol-succinate.html
627,Metronidazole,/metronidazole.html
628,Midazolam,/mtm/midazolam.html
629,Midodrine,/mtm/midodrine.html
630,Minoxidil,/minoxidil.html
631,Mirabegron,/mtm/mirabegron.html
632,MiraLAX,/miralax.html
633,Mirtazapine,/mirtazapine.html
634,Mobic,/mobic.html
635,Modafinil,/mtm/modafinil.html
636,Montelukast,/montelukast.html
637,Morphine,/morphine.html
638,Motrin,/pro/motrin.html
639,Mounjaro,/mounjaro.html
640,Moxifloxacin,/monograph/moxifloxacin.html
641,Mucinex,/mucinex.html
642,Mupirocin,/pro/mupirocin.html
643,Mycapssa,/mycapssa.html
644,Mycophenolate mofetil,/cons/mycophenolate-mofetil.html
645,Myfembree,/myfembree.html
646,Mylotarg,/mylotarg.html
647,Myrbetriq,/myrbetriq.html
648,Nabumetone,/mtm/nabumetone.html
649,NAC,/mtm/nac.html
650,Nadolol,/mtm/nadolol.html
651,Naloxone,/naloxone.html
652,Naltrexone,/naltrexone.html
653,Namenda,/namenda.html
654,Naprosyn,/naprosyn.html
655,Naproxen,/naproxen.html
656,Narcan,/narcan.html
657,Nateglinide,/mtm/nateglinide.html
658,Nayzilam,/nayzilam.html
659,Nebivolol,/mtm/nebivolol.html
660,Neomycin,/mtm/neomycin.html
661,Neosporin,/cons/neosporin.html
662,Nerlynx,/nerlynx.html
663,Neupro,/neupro.html
664,Neurontin,/neurontin.html
665,Nexium,/nexium.html
666,Nexletol,/nexletol.html
667,Nexlizet,/nexlizet.html
668,Nexplanon,/nexplanon.html
669,Niacin,/niacin.html
670,Nicardipine,/pro/nicardipine.html
671,Nicotine,/monograph/nicotine.html
672,Nifedipine,/nifedipine.html
673,Nilandron,/mtm/nilandron.html
674,Nilutamide,/mtm/nilutamide.html
675,Ninlaro,/ninlaro.html
676,Nitazoxanide,/mtm/nitazoxanide.html
677,Nitrofurantoin,/nitrofurantoin.html
678,Nitroglycerin,/monograph/nitroglycerin.html
679,Nitrostat,/nitrostat.html
680,Nivolumab,/nivolumab.html
681,Norco,/norco.html
682,Norepinephrine,/mtm/norepinephrine.html
683,Norethindrone,/mtm/norethindrone.html
684,Norflex,/mtm/norflex.html
685,Nortriptyline,/nortriptyline.html
686,Norvasc,/norvasc.html
687,Nourianz,/nourianz.html
688,Novolin N,/mtm/novolin-n.html
689,NovoLog,/novolog.html
690,NP Thyroid,/mtm/np-thyroid.html
691,NPlate,/nplate.html
692,Nubeqa,/nubeqa.html
693,Nurtec ODT,/nurtec-odt.html
694,NuvaRing,/nuvaring.html
695,Nuvigil,/nuvigil.html
696,Nystatin,/mtm/nystatin.html
697,Nystatin topical,/mtm/nystatin-topical.html
698,Ocella,/mtm/ocella.html
699,Ocrevus,/ocrevus.html
700,Octreotide,/pro/octreotide.html
701,Ofev,/ofev.html
702,Ofloxacin,/mtm/ofloxacin.html
703,Ofloxacin ophthalmic,/mtm/ofloxacin-ophthalmic.html
704,Ofloxacin otic,/mtm/ofloxacin-otic.html
705,Ojjaara,/ojjaara.html
706,Olanzapine,/olanzapine.html
707,Olaparib,/olaparib.html
708,Olmesartan,/mtm/olmesartan.html
709,Olopatadine,/monograph/olopatadine.html
710,Olopatadine nasal,/mtm/olopatadine-nasal.html
711,Olopatadine ophthalmic,/mtm/olopatadine-ophthalmic.html
712,Olumiant,/olumiant.html
713,Olux,/mtm/olux.html
714,Omalizumab,/omalizumab.html
715,Omega-3,/mtm/omega-3.html
716,Omega-3 Fish Oil,/mtm/omega-3-fish-oil.html
717,Omeprazole,/omeprazole.html
718,Omnicef,/omnicef.html
719,Ondansetron,/ondansetron.html
720,Onfi,/onfi.html
721,Ongentys,/ongentys.html
722,Onureg,/onureg.html
723,Opdivo,/opdivo.html
